ime,priimek,starost,pozicija,stevilo_iger,povprecje_tocke,povprecje_osebne_napake,povprecje_asistence,povprecje_skoki,povprecje_trojke
Robin,Lopez,34,C,37,3.0,1.2,0.5,1.4,0.1
Kevin,Love,34,PF,62,8.2,1.6,1.9,6.4,1.6
Kyle,Lowry,36,PG,55,11.2,2.6,5.1,4.1,1.9
Trey,Lyles,27,PF,74,7.6,1.3,0.9,4.1,1.2
Théo,Maledon,21,PG,44,6.7,1.4,3.5,2.8,0.6
Sandro,Mamukelashvili,23,C,43,6.1,1.2,1.4,4.3,0.7
Terance,Mann,26,SG,81,8.8,1.8,2.3,3.4,1.0
Tre,Mann,21,PG,67,7.7,1.5,1.8,2.3,1.2
Boban,Marjanović,34,C,31,3.3,0.3,0.3,1.9,0.0
Lauri,Markkanen,25,PF,66,25.6,2.1,1.9,8.6,3.0
Naji,Marshall,25,SF,77,9.1,1.5,2.5,3.6,0.9
Caleb,Martin,27,SF,71,9.6,2.0,1.6,4.8,1.2
Cody,Martin,27,SF,7,5.0,1.9,1.6,3.4,0.4
Kenyon,Martin,22,SF,82,12.7,1.8,1.5,5.5,0.8
Tyrese,Martin,23,SG,16,1.3,0.1,0.1,0.8,0.1
Garrison,Mathews,26,SG,54,4.8,1.1,0.5,1.4,1.2
Bennedict,Mathurin,20,SG,78,16.7,2.1,1.5,4.1,1.3
Wesley,Matthews,36,SF,52,3.4,1.4,0.7,2.2,0.8
Tyrese,Maxey,22,SG,60,20.3,2.2,3.5,2.9,2.7
Skylar,Mays,25,PG,6,15.3,1.8,8.3,3.2,2.0
Miles,McBride,22,PG,64,3.5,0.9,1.1,0.8,0.6
Mac,McClung,24,SG,2,12.5,1.5,4.5,5.0,2.0
CJ,McCollum,31,SG,75,20.9,2.0,5.7,4.4,2.8
T.J.,McConnell,30,PG,75,8.7,1.4,5.3,3.1,0.3
Jaden,McDaniels,22,SF,79,12.1,3.4,1.9,3.9,1.4
Jalen,McDaniels,25,SF,80,9.4,2.6,1.6,4.3,1.0
Doug,McDermott,31,SF,64,10.2,1.8,1.4,2.2,1.9
JaVale,McGee,35,C,42,4.4,1.3,0.3,2.5,0.0
Bryce,McGowens,20,SG,46,5.3,1.0,1.2,2.0,0.6
Rodney,McGruder,31,SG,32,5.7,1.2,0.9,2.3,1.3
Jordan,McLaughlin,26,PG,43,3.7,0.7,3.4,1.4,0.6
De'Anthony,Melton,24,SG,77,10.1,2.5,2.6,4.1,2.0
Sam,Merrill,26,SG,5,5.0,0.6,1.0,1.8,1.0
Chimezie,Metu,25,PF,66,4.9,1.2,0.6,3.0,0.1
Khris,Middleton,31,SF,33,15.1,2.1,4.9,4.2,1.5
Patty,Mills,34,PG,40,6.2,0.8,1.4,1.1,1.2
Shake,Milton,26,SG,76,8.4,1.6,3.2,2.5,0.7
Justin,Minaya,23,SF,4,4.3,2.3,1.0,3.8,0.8
Josh,Minott,20,SF,15,3.1,0.7,0.3,1.7,0.1
Davion,Mitchell,24,PG,80,5.6,1.4,2.3,1.3,0.8
Donovan,Mitchell,26,SG,68,28.3,2.5,4.4,4.3,3.6
Evan,Mobley,21,PF,79,16.2,2.8,2.8,9.0,0.3
Isaiah ,Mobley,23,PF,12,2.6,0.7,0.3,1.7,0.3
Chima,Moneke,27,SF,2,1.0,1.0,0.5,1.0,0.0
Malik,Monk,24,SG,77,13.5,1.6,3.9,2.6,1.9
Moses,Moody,20,SG,63,4.8,0.9,0.8,1.7,0.8
Xavier,Moon,28,SG,4,1.8,0.5,1.3,0.8,0.3
Wendell,Moore,21,SG,29,1.4,0.4,0.6,0.6,0.1
Ja,Morant,23,PG,61,26.2,1.6,8.1,5.9,1.5
Marcus,Morris,33,PF,65,11.2,2.1,1.8,4.0,1.7
Markieff,Morris,33,PF,35,3.8,1.4,0.9,2.0,0.8
Monte,Morris,27,PG,62,10.3,1.2,5.3,3.4,1.3
Trey,Murphy,22,SF,79,14.5,2.0,1.4,3.6,2.6
Dejounte,Murray,26,SG,74,20.5,1.4,6.1,5.3,1.8
Jamal,Murray,25,PG,65,20.0,1.6,6.2,4.0,2.6
Keegan,Murray,22,SF,80,12.2,2.0,1.2,4.6,2.6
Mike,Muscala,31,C,63,6.1,1.6,0.8,3.2,1.3
Svi,Mykhailiuk,25,SF,32,6.9,0.7,1.7,1.7,1.3
Larry,Nance,30,C,65,6.8,2.0,1.8,5.4,0.2
Andrew,Nembhard,23,SG,75,9.5,2.4,4.5,2.7,1.2
Aaron,Nesmith,23,SF,73,10.1,3.2,1.3,3.8,1.6
Raul,Neto,30,PG,48,3.3,1.0,1.6,1.0,0.3
Georges,Niang,29,PF,78,8.2,1.9,1.0,2.4,2.0
Daishen,Nix,20,PG,57,4.0,1.0,2.3,1.7,0.7
Zeke,Nnaji,22,PF,53,5.2,2.0,0.3,2.6,0.3
Nerlens,Noel,28,C,17,2.1,1.9,0.6,2.7,0.1
Jaylen,Nowell,23,SG,65,10.8,1.6,2.0,2.6,1.0
Frank,Ntilikina,24,SG,47,2.9,1.4,1.2,1.3,0.4
Kendrick,Nunn,27,SG,70,7.1,0.9,1.3,1.6,1.1
Jusuf,Nurkić,28,C,52,13.3,3.6,2.9,9.1,0.8
Jordan,Nwora,24,SF,62,8.7,1.2,1.4,3.7,1.4
Royce,O'Neale,29,SF,76,8.8,3.1,3.7,5.1,2.1
Chuma,Okeke,24,SF,27,4.7,1.5,1.4,3.6,1.0
Josh,Okogie,24,SG,72,7.3,1.6,1.5,3.5,0.9
Onyeka,Okongwu,22,C,80,9.9,3.1,1.0,7.2,0.1
Isaac,Okoro,22,SF,76,6.4,2.1,1.1,2.5,0.8
KZ,Okpala,23,PF,35,1.3,1.1,0.4,1.0,0.2
